date,home_team,away_team,home_rank,away_rank,home_points,away_points,home_played,away_played,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_goals_for,away_goals_for,home_goals_against,away_goals_against,result
04.01.2023,Galatasaray,Ankaragucu,1,11,88,42,36,36,28,12,4,6,4,18,83,43,27,53,H
05.01.2023,Gazişehir Gaziantep,Istanbul Basaksehir,18,5,25,62,36,36,6,18,7,8,23,10,31,54,72,37,D
05.01.2023,Trabzonspor,Giresunspor,6,16,57,40,36,36,17,10,6,10,13,16,64,42,54,60,H
05.01.2023,Adana Demirspor,İstanbulspor,4,12,69,41,36,36,20,12,9,5,7,19,76,47,45,63,H
07.01.2023,Hatayspor,Antalyaspor,19,13,23,41,36,36,6,11,5,8,25,17,19,46,83,55,D
07.01.2023,Besiktas,Kasimpasa,3,10,78,43,36,36,23,12,9,7,4,17,78,45,36,61,H
08.01.2023,Fatih Karagümrük,Konyaspor,7,8,51,51,36,36,13,12,12,15,11,9,75,49,63,41,D
08.01.2023,Ankaragucu,Kayserispor,11,9,42,47,36,36,12,15,6,5,18,16,43,55,53,61,H
08.01.2023,Giresunspor,Ümraniyespor,16,17,40,30,36,36,10,7,10,9,16,20,42,47,60,64,A
08.01.2023,Fenerbahce,Galatasaray,2,1,80,88,36,36,25,28,5,4,6,4,87,83,42,27,A
09.01.2023,Istanbul Basaksehir,Adana Demirspor,5,4,62,69,36,36,18,20,8,9,10,7,54,76,37,45,H
09.01.2023,Alanyaspor,Trabzonspor,15,6,41,57,36,36,11,17,8,6,17,13,54,64,70,54,H
09.01.2023,İstanbulspor,Gazişehir Gaziantep,12,18,41,25,36,36,12,6,5,7,19,23,47,31,63,72,D
13.01.2023,Kayserispor,Sivasspor,9,14,47,41,36,36,15,11,5,8,16,17,55,46,61,54,H
13.01.2023,Galatasaray,Hatayspor,1,19,88,23,36,36,28,6,4,5,4,25,83,19,27,83,H
