home_team_form,home_team_goals_scored,home_team_goals_conceded,home_team_wins,home_team_draws,home_team_losses,home_team_first_half_goals,home_team_clean_sheets,home_team_both_scored,home_team_over_25,home_team_last_5_form,home_team_last_5_goals,home_team_win_streak,home_team_unbeaten,home_team_scoring_streak,home_team_form_trend,home_team_goals_trend,home_team_conceded_trend,home_team_last_3_goals_avg,home_team_last_3_conceded_avg,home_team_first_half_dominance,home_team_second_half_dominance,home_team_comebacks,away_team_form,away_team_goals_scored,away_team_goals_conceded,away_team_wins,away_team_draws,away_team_losses,away_team_first_half_goals,away_team_clean_sheets,away_team_both_scored,away_team_over_25,away_team_last_5_form,away_team_last_5_goals,away_team_win_streak,away_team_unbeaten,away_team_scoring_streak,away_team_form_trend,away_team_goals_trend,away_team_conceded_trend,away_team_last_3_goals_avg,away_team_last_3_conceded_avg,away_team_first_half_dominance,away_team_second_half_dominance,away_team_comebacks,result,both_scored,over_25,total_goals,first_half_goals
25.0,3,9,1,1,4,2,1,2,2,0.0,3,0,0,0,1.33,0.17,0.17,0.67,1.67,2,0,0,80.0,11,6,4,0,1,6,2,3,4,0.0,11,0,0,5,1.5,0.33,-0.5,2.33,1.0,3,2,0,0,1,0,2,1
10.0,3,10,0,1,4,2,1,2,2,0.0,3,0,0,1,-0.5,-0.67,-0.83,0.33,1.67,0,0,0,41.66666666666667,11,13,2,1,3,3,1,5,6,0.0,10,0,0,6,0.33,0.0,-1.33,2.0,1.67,1,3,2,2,1,1,5,2
41.66666666666667,3,7,1,3,2,2,2,2,1,0.0,2,0,4,2,-1.33,-0.17,2.0,0.33,2.0,1,0,0,50.0,8,10,2,2,2,3,3,2,3,0.0,3,1,1,1,0.0,1.0,0.17,1.0,1.67,2,2,0,1,0,1,4,3
33.33333333333333,3,10,2,0,4,2,2,1,3,0.0,2,1,1,1,0.0,0.67,-0.83,0.67,1.67,2,1,0,35.714285714285715,11,14,2,1,4,10,3,3,4,0.0,9,0,0,0,0.58,-2.0,-2.33,1.0,0.67,3,1,0,2,0,1,4,2
66.66666666666666,12,8,4,0,2,5,2,3,3,0.0,10,2,2,5,0.0,-2.5,-1.83,1.0,0.67,2,2,0,75.0,11,3,3,3,0,6,3,3,2,0.0,11,0,6,0,0.67,-0.5,-0.67,2.0,0.33,3,1,0,2,1,1,3,2
41.66666666666667,7,6,2,1,3,2,1,3,2,0.0,6,0,0,1,0.33,0.33,0.5,1.33,1.0,1,3,1,58.333333333333336,8,7,2,3,1,2,1,4,3,0.0,5,1,5,2,-0.33,0.83,0.83,1.33,1.33,1,2,2,1,0,0,2,1
43.75,15,14,3,1,4,12,4,3,5,0.0,11,0,0,0,1.73,-0.5,-1.0,2.0,0.0,4,2,0,75.0,17,6,4,1,1,10,2,3,4,0.0,16,0,4,4,-0.33,-2.17,-0.83,2.33,0.67,4,2,0,2,0,0,1,0
78.57142857142857,13,4,4,3,0,8,3,4,3,0.0,12,0,7,0,0.33,-3.5,-0.67,1.0,0.33,4,1,0,50.0,7,7,2,3,2,5,3,2,2,0.0,5,0,4,2,-0.5,0.83,1.17,1.33,1.67,2,1,0,1,0,1,4,1
50.0,5,7,2,2,2,2,2,3,4,0.0,5,0,1,0,0.0,-0.83,-0.17,0.67,1.33,0,2,1,28.57142857142857,4,10,1,2,4,2,1,3,2,0.0,4,0,0,0,1.67,0.5,-2.33,1.0,0.67,2,1,1,1,0,0,1,1
33.33333333333333,9,11,1,2,3,4,1,3,3,0.0,4,1,2,2,-1.0,-1.17,-0.33,0.33,1.67,1,1,0,83.33333333333334,10,3,4,2,0,3,3,3,3,0.0,8,4,6,4,-1.33,-1.5,-0.17,1.0,0.33,2,4,0,1,1,1,5,3
42.85714285714285,8,14,2,2,3,3,3,2,4,0.0,3,1,1,1,0.33,0.17,-1.17,0.67,1.33,2,2,0,28.57142857142857,3,14,2,0,5,2,2,1,4,0.0,2,1,1,1,0.25,0.67,-0.5,0.67,2.0,2,1,0,0,1,0,2,0
50.0,8,9,2,3,2,2,1,4,3,0.0,4,1,5,2,-1.67,-0.33,1.17,0.67,1.67,1,2,2,57.14285714285714,13,10,4,0,3,5,2,4,4,0.0,5,2,2,5,-1.25,0.0,-0.17,1.0,1.33,2,3,0,2,1,1,5,1
50.0,14,15,3,1,3,4,1,6,7,0.0,10,0,0,7,1.58,1.67,-2.17,2.67,1.33,1,4,2,50.0,7,6,3,1,3,2,3,2,3,0.0,6,0,3,0,-0.75,-0.5,-0.5,1.0,1.0,1,3,0,0,0,0,0,0
50.0,7,7,2,2,2,3,3,2,2,0.0,7,0,2,0,1.33,-1.83,-2.67,0.67,0.33,1,2,1,8.333333333333332,5,13,0,1,5,3,1,3,3,0.0,3,0,0,1,-0.33,0.17,1.0,0.67,2.0,0,0,0,2,1,1,3,2
75.0,12,7,4,1,1,7,2,4,4,0.0,11,0,0,6,0.33,-1.33,0.5,1.67,1.0,4,2,0,28.57142857142857,6,12,1,2,4,4,2,3,3,0.0,2,0,0,2,1.08,-0.17,-2.17,0.33,0.33,2,1,0,1,0,1,5,1
71.42857142857143,12,9,4,2,1,4,3,4,3,0.0,8,2,2,4,-0.58,-1.5,-3.17,1.0,0.33,3,3,0,50.0,9,6,3,1,3,3,2,3,2,0.0,8,0,0,1,-0.17,-1.5,0.17,1.0,0.67,2,4,1,1,0,0,1,1
31.25,4,15,2,1,5,2,2,2,4,0.0,3,1,1,1,-0.87,0.17,0.83,0.67,2.33,2,1,0,42.85714285714285,13,12,2,2,3,7,1,4,4,0.0,5,1,2,2,0.33,1.67,-0.17,1.67,1.33,2,1,0,2,1,1,5,4
25.0,6,17,1,2,5,4,2,3,4,0.0,2,0,0,2,1.13,-0.17,0.67,0.33,1.67,2,1,0,43.75,9,15,2,3,3,3,3,3,4,0.0,4,1,1,1,-0.73,-1.17,-0.83,0.33,1.67,2,2,0,0,1,1,4,2
78.57142857142857,18,6,5,1,1,10,3,3,4,0.0,14,0,4,4,-0.5,-3.67,-0.83,1.33,0.67,4,3,0,50.0,14,15,3,2,3,4,2,6,7,0.0,9,0,0,7,1.53,0.5,-1.83,2.0,0.67,1,4,2,1,1,1,3,2
21.428571428571427,7,14,1,1,5,4,1,4,4,0.0,5,0,0,1,0.75,0.83,0.5,1.33,2.0,0,1,0,43.75,10,12,2,3,3,3,1,5,4,0.0,6,1,5,2,-1.8,-1.33,0.5,0.67,2.0,2,2,2,1,1,1,7,3
50.0,7,6,3,2,3,2,4,2,3,0.0,4,0,3,0,-0.07,0.5,-1.67,1.0,0.33,1,3,0,38.88888888888889,15,15,3,1,5,12,4,3,5,0.0,7,0,0,0,1.33,1.5,-0.67,2.0,0.33,4,2,0,2,0,0,2,1
71.42857142857143,11,7,4,2,1,3,3,4,4,0.0,7,4,6,4,-2.33,-1.83,1.67,0.67,1.67,2,4,0,78.57142857142857,17,7,5,1,1,8,3,4,5,0.0,13,0,0,7,0.08,-0.67,-1.17,2.33,0.33,5,3,0,2,0,0,1,0
43.75,9,7,3,1,4,3,2,3,2,0.0,6,0,0,1,-0.4,-1.33,-0.33,0.67,0.67,2,4,1,57.14285714285714,6,7,3,2,2,3,3,3,4,0.0,5,0,1,0,0.75,0.0,0.83,1.0,1.33,1,2,1,2,1,1,3,2
25.0,4,11,1,2,5,2,1,3,2,0.0,3,0,0,0,1.13,0.17,-1.83,0.67,0.67,2,1,1,81.25,17,4,5,3,0,9,4,4,4,0.0,12,0,8,0,1.2,-0.17,-0.17,2.33,0.33,5,2,0,2,1,1,5,1
43.75,7,11,2,3,3,5,3,2,3,0.0,5,0,4,2,-0.2,0.83,0.83,1.33,2.33,2,1,0,75.0,13,9,5,2,1,5,4,4,3,0.0,6,2,2,4,0.33,0.33,-0.17,1.33,0.33,4,3,0,1,1,1,4,3
62.5,16,12,5,0,3,5,2,5,5,0.0,7,2,2,5,-1.4,-0.17,2.0,1.33,2.0,2,4,1,42.85714285714285,8,9,2,2,3,4,3,3,3,0.0,5,0,2,0,-0.25,-0.83,-0.5,0.67,1.0,1,2,1,2,1,1,3,2
81.25,20,7,6,1,1,11,3,4,5,0.0,10,0,4,4,1.0,0.0,0.17,2.0,0.67,4,4,0,44.44444444444444,11,17,2,4,3,4,3,4,5,0.0,5,1,1,1,-0.67,0.0,2.33,1.0,2.33,2,2,0,2,1,1,3,2
38.88888888888889,10,9,3,1,5,4,2,4,3,0.0,4,0,0,1,-0.17,0.5,0.0,1.0,1.0,2,4,1,45.0,17,15,4,1,5,13,5,3,5,0.0,8,0,0,0,1.0,1.0,0.33,2.0,0.33,5,3,0,2,0,0,2,1
55.55555555555556,17,14,5,0,4,5,2,6,6,0.0,7,2,2,5,-1.0,0.67,1.0,1.67,2.0,2,5,1,31.25,11,17,2,1,5,5,1,5,5,0.0,8,0,0,1,1.8,2.67,0.83,2.67,2.33,0,2,1,1,1,1,7,3
27.77777777777778,8,19,1,3,5,5,2,4,5,0.0,3,0,0,2,1.0,1.0,1.83,1.0,2.33,2,1,0,62.5,8,8,4,2,2,4,3,4,5,0.0,5,0,1,0,0.4,0.0,0.83,1.0,1.33,1,3,1,1,0,0,1,0
50.0,10,10,3,2,3,6,3,4,4,0.0,5,0,2,0,-0.6,0.0,1.33,1.0,1.33,2,2,1,22.22222222222222,5,15,1,2,6,2,1,4,3,0.0,4,0,0,0,-0.33,-0.33,1.5,0.67,2.0,2,1,1,1,1,1,4,4
